text,language
Most shark attacks occur about 10 feet from the beach since that's where the people are, English
Ze adviseerde hem om onmiddellijk terug te komen,Nederlands
Terwijl de huurauto tot stilstand kwam op de donkere weg nam haar angst toe met het moment,Nederlands
Ik wilde je gewoon vertellen dat ik de liefde die je voor je kind hebt kon zien aan de manier waarop je naar haar kijkt,Nederlands
She had convinced her kids that any mushroom found on the ground would kill them if they touched it, English
Het geheime ingrediënt voor zijn geweldige leven was misdaad,Nederlands
He wasn't bitter that she had moved on but from the radish, English
Grape jelly was leaking out the hole in the roof, English
Sy het sy algehele eentonigheid interessant gevind,Afrikaans
Die onlangs aangeplante bome was met houtrame vasgehou in die hoop dat hulle die volgende storm sou oorleef,Afrikaans
De lichaamspiercing verliep niet precies zoals hij had verwacht,Nederlands
Hij had per ongeluk het server van zijn bedrijf gehackt,Nederlands
In het moment dat ze landde begreep ze waarom dit een doorvliegstaat was,Nederlands
Verlede Vrydag het ek 'n gemerkte gestreepte blou wurm gesien wat hande met 'n potlood-lizard geskud het,Afrikaans
Piss niet in mijn tuin en vertel me niet dat je probeert mijn planten te laten groeien,Nederlands
De roestige spijker stond rechtop gekanteld onder een hoek van 45 graden wachtend op de perfecte blote voet om langs te komen,Nederlands
As hy geweet het wat gaan gebeur het hy nooit in die stort gestap nie,Afrikaans
De norse oude man zat achterin de aaswinkel te mopperen terwijl hij een handvol wormen schepte,Nederlands
Dan ate the clouds like cotton candy, English
Hij is geen James Bond; zijn naam is Roger Moore,Nederlands
Ze was te kort om over het hek te kijken,Nederlands
Tom het 'n klein stukkie tert gekry,Afrikaans
Soms hoef je alleen maar helemaal een idioot van jezelf te maken en het van je af te lachen om te beseffen dat het leven toch niet zo slecht is,Nederlands
Iguanas were falling out of the trees, English
The complicated school homework left the parents trying to help their kids quite confused, English
We moeten een kamer huren voor ons feest,Nederlands
Asseblief sê vir my jy werk nie in 'n lykhuise nie,Afrikaans
Ek wil regtig werk gaan maar ek is te siek om te ry,Afrikaans
