text,language
If you don't like toenails you probably shouldn't look at your feet, English
Charles ate the french fries knowing they would be his last meal, English
I love bacon beer birds and baboons, English
Twin 4-month-olds slept in the shade of the palm tree while the mother tanned in the sun, English
People who insist on picking their teeth with their elbows are so annoying, English
For the 216th time he said he would quit drinking soda after this last Coke, English
She had the gift of being able to paint songs, English
In hopes of finding out the truth he entered the one-room library, English
This book is sure to liquefy your brain, English
She lived on Monkey Jungle Road and that seemed to explain all of her strangeness, English
She tilted her head back and let whip cream stream into her mouth while taking a bath, English
The ants enjoyed the barbecue more than the family, English
He had concluded that pigs must be able to fly in Hog Heaven, English
Carol drank the blood as if she were a vampire, English
The view from the lighthouse excited even the most seasoned traveler, English
After exploring the abandoned building he started to believe in ghosts, English
He used to get confused between soldiers and shoulders but as a military man he now soldiers responsibility, English
Before he moved to the inner city he had always believed that security complexes were psychological, English
Beach-combing replaced wine tasting as his new obsession, English
Car safety systems have come a long way but he was out to prove they could be outsmarted, English
Lucifer was surprised at the amount of life at Death Valley, English
The delicious aroma from the kitchen was ruined by cigarette smoke, English
The blinking lights of the antenna tower came into focus just as I heard a loud snap, English
I would be delighted if the sea were full of cucumber juice, English
Her scream silenced the rowdy teenagers, English
The tortoise jumped into the lake with dreams of becoming a sea turtle, English
Pantyhose and heels are an interesting choice of attire for the beach, English
He wondered if she would appreciate his toenail collection, English
She saw the brake lights but not in time, English
She was disgusted he couldn’t tell the difference between lemonade and limeade, English
It was her first experience training a rainbow unicorn, English
It dawned on her that others could make her happier but only she could make herself happy, English
You're good at English when you know the difference between a man eating chicken and a man-eating chicken, English
She wasnt sure whether to be impressed or concerned that he folded underwear in neat little packages, English
He uses onomatopoeia as a weapon of mental destruction, English
She did a happy dance because all of the socks from the dryer matched, English
I come from a tribe of head-hunters so I will never need a shrink, English
Jeanne wished she has chosen the red button, English
They looked up at the sky and saw a million stars, English
Whenever he saw a red flag warning at the beach he grabbed his surfboard, English
The rain pelted the windshield as the darkness engulfed us, English
Swim at your own risk was taken as a challenge for the group of Kansas City college students, English
She is never happy until she finds something to be unhappy about then she is overjoyed, English
While on the first date he accidentally hit his head on the beam, English
I may struggle with geography but I'm sure I'm somewhere around here, English
Weather is not trivial - it's especially important when you're standing in it, English
He walked into the basement with the horror movie from the night before playing in his head, English
Nudist colonies shun fig-leaf couture, English
He found the chocolate covered roaches quite tasty, English
Thigh-high in the water the fisherman’s hope for dinner soon turned to despair, English
I'm confused: when people ask me what's up and I point they groan, English
When he encountered maize for the first time he thought it incredibly corny, English
He drank life before spitting it out, English
Improve your goldfish's physical fitness by getting him a bicycle, English
He was the type of guy who liked Christmas lights on his house in the middle of July, English
Toddlers feeding raccoons surprised even the seasoned park ranger, English
The trick to getting kids to eat anything is to put catchup on it, English
Buried deep in the snow he hoped his batteries were fresh in his avalanche beacon, English
The pet shop stocks everything you need to keep your anaconda happy, English
We will not allow you to bring your pet armadillo along, English
The snow-covered path was no help in finding his way out of the back-country, English
It's a skateboarding penguin with a sunhat, English
Some bathing suits just shouldn’t be worn by some people, English
As the years pass by we all know owners look more and more like their dogs, English
He dreamed of eating green apples with worms, English
Dolores wouldn't have eaten the meal if she had known what it actually was, English
She wondered what his eyes were saying beneath his mirrored sunglasses, English
No matter how beautiful the sunset it saddened her knowing she was one day older, English
With a single flip of the coin his life changed forever, English
Separation anxiety is what happens when you can't find your phone, English
When motorists sped in and out of traffic all she could think of was those in need of a transplant, English
The busker hoped that the people passing by would throw money but they threw tomatoes instead so he exchanged his hat for a juicer, English
Greetings from the real universe, English
Combines are no longer just for farms, English
He stomped on his fruit loops and thus became a cereal killer, English
She opened up her third bottle of wine of the night, English
The small white buoys marked the location of hundreds of crab pots, English
There's a message for you if you look up, English
The three-year-old girl ran down the beach as the kite flew behind her, English
The waitress was not amused when he ordered green eggs and ham, English
When he had to picnic on the beach he purposely put sand in other people’s food, English
He quietly entered the museum as the super bowl started, English
As he entered the church he could hear the soft voice of someone whispering into a cell phone, English
I don’t respect anybody who can’t tell the difference between Pepsi and Coke, English
Just go ahead and press that button, English
His son quipped that power bars were nothing more than adult candy bars, English
It had been sixteen days since the zombies first attacked, English
Going from child to childish to childlike is only a matter of time, English
Courage and stupidity were all he had, English
A kangaroo is really just a rabbit on steroids, English
When she didn’t like a guy who was trying to pick her up she started using sign language, English
The beauty of the sunset was obscured by the industrial cranes, English
When transplanting seedlings candied teapots will make the task easier, English
People generally approve of dogs eating cat food but not cats eating dog food, English
The tart lemonade quenched her thirst but not her longing, English
He enjoys practicing his ballet in the bathroom, English
He always wore his sunglasses at night, English
They did nothing as the raccoon attacked the lady’s bag of food, English
My dentist tells me that chewing bricks is very bad for your teeth, English
He was disappointed when he found the beach to be so sandy and the sun so sunny, English
Thigh-high in the water, the fisherman’s hope for dinner soon turned to despair, English
Combines are no longer just for farms, English
The small white buoys marked the location of hundreds of crab pots, English
The snow-covered path was no help in finding his way out of the back-country, English
The waitress was not amused when he ordered green eggs and ham, English
Buried deep in the snow, he hoped his batteries were fresh in his avalanche beacon, English
Courage and stupidity were all he had, English
I don’t respect anybody who can’t tell the difference between Pepsi and Coke, English
As the years pass by, we all know owners look more and more like their dogs, English
In hopes of finding out the truth, he entered the one-room library, English
As he entered the church, he could hear the soft voice of someone whispering into a cell phone, English
He quietly entered the museum as the super bowl started, English
He had concluded that pigs must be able to fly in Hog Heaven, English
The rain pelted the windshield as the darkness engulfed us, English
Beach-combing replaced wine tasting as his new obsession, English
The blinking lights of the antenna tower came into focus just as I heard a loud snap, English
People generally approve of dogs eating cat food but not cats eating dog food, English
Car safety systems have come a long way but he was out to prove they could be outsmarted, English
They looked up at the sky and saw a million stars, English
She opened up her third bottle of wine of the night, English
With a single flip of the coin, his life changed forever, English
The tart lemonade quenched her thirst but not her longing, English
He was the type of guy who liked Christmas lights on his house in the middle of July, English
Toddlers feeding raccoons surprised even the seasoned park ranger, English
She was disgusted he couldn’t tell the difference between lemonade and limeade, English
Whenever he saw a red flag warning at the beach, he grabbed his surfboard, English
Twin 4-month-olds slept in the shade of the palm tree while the mother tanned in the sun, English
He always wore his sunglasses at night, English
The three-year-old girl ran down the beach as the kite flew behind her, English
While on the first date, he accidentally hit his head on the beam, English
Her scream silenced the rowdy teenagers, English
After exploring the abandoned building, he started to believe in ghosts, English
The view from the lighthouse excited even the most seasoned traveler, English
He wondered if she would appreciate his toenail collection, English
Some bathing suits just shouldn’t be worn by some people, English
His son quipped that power bars were nothing more than adult candy bars, English
Pantyhose and heels are an interesting choice of attire for the beach, English
She did a happy dance because all of the socks from the dryer matched, English
She wasn't sure whether to be impressed or concerned that he folded underwear in neat little packages, English
When she didn’t like a guy who was trying to pick her up, she started using sign language, English
The delicious aroma from the kitchen was ruined by cigarette smoke, English
Swim at your own risk was taken as a challenge for the group of Kansas City college students, English
She wondered what his eyes were saying beneath his mirrored sunglasses, English
The ants enjoyed the barbecue more than the family, English
They did nothing as the raccoon attacked the lady’s bag of food, English
When he had to picnic on the beach, he purposely put sand in other people’s food, English
The trick to getting kids to eat anything is to put catchup on it, English
The beauty of the sunset was obscured by the industrial cranes, English
He stomped on his fruit loops and thus became a cereal killer, English
He walked into the basement with the horror movie from the night before playing in his head, English
She saw the brake lights, but not in time, English
No matter how beautiful the sunset, it saddened her knowing she was one day older, English
She lived on Monkey Jungle Road and that seemed to explain all of her strangeness, English
When motorists sped in and out of traffic, all she could think of was those in need of a transplant, English
The tortoise jumped into the lake with dreams of becoming a sea turtle, English
For the 216th time, he said he would quit drinking soda after this last Coke, English
Lucifer was surprised at the amount of life at Death Valley, English
It had been sixteen days since the zombies first attacked, English
Charles ate the french fries knowing they would be his last meal, English
She had the gift of being able to paint songs, English
Carol drank the blood as if she were a vampire, English
He drank life before spitting it out, English
He dreamed of eating green apples with worms, English
Dolores wouldn't have eaten the meal if she had known what it actually was, English
Greetings from the real universe, English
There's a message for you if you look up, English
He found the chocolate covered roaches quite tasty, English
It dawned on her that others could make her happier but only she could make herself happy, English
She tilted her head back and let whip cream stream into her mouth while taking a bath, English
Jeanne wished she has chosen the red button, English
It was her first experience training a rainbow unicorn, English
He uses onomatopoeia as a weapon of mental destruction, English
Weather is not trivial - it's especially important when you're standing in it, English
I may struggle with geography but I'm sure I'm somewhere around here, English
It's a skateboarding penguin with a sunhat, English
If you don't like toenails, you probably shouldn't look at your feet, English
We will not allow you to bring your pet armadillo along, English
When he encountered maize for the first time, he thought it incredibly corny, English
He used to get confused between soldiers and shoulders but as a military man he now soldiers responsibility, English
Just go ahead and press that button, English
Going from child to childish to childlike is only a matter of time, English
My dentist tells me that chewing bricks is very bad for your teeth, English
He was disappointed when he found the beach to be so sandy and the sun so sunny, English
She is never happy until she finds something to be unhappy about then she is overjoyed, English
I would be delighted if the sea were full of cucumber juice, English
The busker hoped that the people passing by would throw money but they threw tomatoes instead so he exchanged his hat for a juicer, English
I love bacon beer birds and baboons, English
I come from a tribe of head-hunters so I will never need a shrink, English
You're good at English when you know the difference between a man eating chicken and a man-eating chicken, English
I'm confused: when people ask me what's up and I point they groan, English
The pet shop stocks everything you need to keep your anaconda happy, English
This book is sure to liquefy your brain, English
People who insist on picking their teeth with their elbows are so annoying, English
He enjoys practicing his ballet in the bathroom, English
Separation anxiety is what happens when you can't find your phone, English
Improve your goldfish's physical fitness by getting him a bicycle, English
Nudist colonies shun fig-leaf couture, English
A kangaroo is really just a rabbit on steroids, English
When transplanting seedlings candied teapots will make the task easier, English
Before he moved to the inner city he had always believed that security complexes were psychological, English
Pair your designer cowboy hat with scuba gear for a memorable occasion, English
For oil spots on the floor nothing beats parking a motorbike in the lounge, English
Standing on one's head at job interviews forms a lasting impression, English
Every manager should be able to recite at least ten nursery rhymes backward, English
Truth in advertising and dinosaurs with skateboards have much in common, English
Nothing is as cautiously cuddly as a pet porcupine, English
Nobody has encountered an explosive daisy and lived to tell the tale, English
Iron pyrite is the most foolish of all minerals, English
A suit of armor provides excellent sun protection on hot days, English
I am my aunt's sister's daughter, English
