text,language
The quick brown fox jumps over the lazy dog,English  
My Mum tries to be cool by saying that she likes all the same things that I do,English  
A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt,English  
Last Friday I saw a spotted striped blue worm shake hands with a legless lizard,English  
A song can make or ruin a person’s day if they let it get to them,English  
Sometimes it is better to just walk away from things and go back to them later when you’re in a better frame of mind,English  
Writing a list of random sentences is harder than I initially thought it would be,English  
Lets all be unique together until we realise we are all the same,English  
If I don’t like something I’ll stay away from it,English  
I love eating toasted cheese and tuna sandwiches,English  
If you like tuna and tomato sauce try combining the two It’s really not as bad as it sounds,English  
Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would taste like caramel popcorn It didn’t and they don’t recommend anyone else do it either,English  
Sometimes all you need to do is completely make an ass of yourself and laugh it off to realise that life isn’t so bad after all,English  
When I was little I had a car door slammed shut on my hand and I still remember it quite vividly,English  
The clock within this blog and the clock on my laptop are 1 hour different from each other,English  
I want to buy a onesie but know it won’t suit me,English  
I was very proud of my nickname throughout high school but today I couldn’t be any different to what my nickname was,English  
I currently have 4 windows open up and I don’t know why,English  
I often see the time 11:11 or 12:34 on clocks,English  
This is the last random sentence I will be writing and I am going to stop mid-sent,English  
We need to rent a room for our party,English  
Yeah I think it's a good environment for learning English,English  
The lake is a long way from here,English  
This is a Japanese doll,English  
I hear that Nancy is very pretty,English  
She was too short to see over the fence,English  
He told us a very exciting adventure story,English  
She always speaks to him in a loud voice,English  
I want more detailed information,English  
I checked to make sure that he was still alive,English  
I'd rather be a bird than a fish,English  
Mary plays the piano,English  
She did her best to help him,English  
She borrowed the book from him many years ago and hasn't yet returned it,English  
She wrote him a long letter but he didn't read it,English  
Please wait outside of the house,English  
Two seats were vacant,English  
Tom got a small piece of pie,English  
She folded her handkerchief neatly,English  
We have a lot of rain in June,English  
I am never at home on Sundays,English  
Don't step on the broken glass,English  
She advised him to come back at once,English  
Let me help you with your baggage,English  
The book is in front of the table,English  
The mysterious diary records the voice,English  
The stranger officiates the meal,English  
The shooter says goodbye to his love,English  
A glittering gem is not enough,English  
The memory we used to share is no longer coherent,English  
The old apple revels in its authority,English  
Rock music approaches at high velocity,English  
Sixty-Four comes asking for bread,English  
Abstraction is often one floor above you,English  
The river stole the gods,English  
Joe made the sugar cookies Susan decorated them,English  
The sky is clear the stars are twinkling,English  
The waves were crashing on the shore it was a lovely sight,English  
There were white out conditions in the town subsequently the roads were impassable,English  
Check back tomorrow I will see if the book has arrived,English  
He said he was not there yesterday however many people saw him there,English  
I am happy to take your donation any amount will be greatly appreciated,English  
She only paints with bold colors she does not like pastels,English  
She works two jobs to make ends meet at least that was her reason for not having time to join us,English  
Malls are great places to shop I can find everything I need under one roof,English  
Italy is my favorite country in fact I plan to spend two weeks there next year,English  
He turned in the research paper on Friday otherwise he would have not passed the class,English  
She did not cheat on the test for it was not the right thing to do,English  
I think I will buy the red car or I will lease the blue one,English  
I really want to go to work but I am too sick to drive,English  
I am counting my calories yet I really want dessert,English  
He ran out of money so he had to stop playing poker,English  
They got there early and they got really good seats,English  
There was no ice cream in the freezer nor did they have money to go to the store,English  
Everyone was busy so I went to the movie alone,English  
I would have gotten the promotion but my attendance wasn’t good enough,English  
It was getting dark and we weren’t there yet,English  
Cats are good pets for they are clean and are not noisy,English  
We have never been to Asia nor have we visited Africa,English  
He didn’t want to go to the dentist yet he went anyway,English  
Sometimes I stare at a door or a wall and I wonder what is this reality why am I alive and what is this all about,English  
All you need to do is pick up the pen and begin,English  
Had he known what was going to happen he would have never stepped into the shower,English  
She hadn't had her cup of coffee and that made things all the worse,English  
All she wanted was the answer but she had no idea how much she would hate it,English  
It must be five o'clock somewhere,English  
He went back to the video to see what had been recorded and was shocked at what he saw,English  
Behind the window was a reflection that only instilled fear,English  
That was how he came to win $1 million,English  
She could hear him in the shower singing with a joy she hoped he'd retain after she delivered the news,English  
As he looked out the window he saw a clown walk by,English  
There should have been a time and a place but this wasn't it,English  
It was the best sandcastle he had ever seen,English  
There's an art to getting your way and spitting olive pits across the table isn't it,English  
They say that dogs are man's best friend but this cat was setting out to sabotage that theory,English  
Of course she loves her pink bunny slippers,English  
Don't put peanut butter on the dog's nose,English  
She can live her life however she wants as long as she listens to what I have to say,English  
There are few things better in life than a slice of pie,English  
Not all people who wander are lost,English  
She felt that chill that makes the hairs on the back of your neck when he walked into the room,English  
Don't piss in my garden and tell me you're trying to help my plants grow,English  
He found the end of the rainbow and was surprised at what he found there,English  
Two more days and all his problems would be solved,English  
Love is not like pizza,English  
There's a reason that roses have thorns,English  
He looked behind the door and didn't like what he saw,English  
He fumbled in the darkness looking for the light switch but when he finally found it there was someone already there,English  
He barked orders at his daughters but they just stared back with amusement,English  
He had a hidden stash underneath the floorboards in the back room of the house,English  
Nobody loves a pig wearing lipstick,English  
They called out her name time and again but were met with nothing but silence,English  
He had accidentally hacked into his company's server,English  
You can't compare apples and oranges but what about bananas and plantains,English  
It doesn't sound like that will ever be on my travel list,English  
He swore he just saw his sushi move,English  
He had reached the point where he was paranoid about being paranoid,English  
The sun had set and so had his dreams,English  
He learned the important lesson that a picnic at the beach on a windy day is a bad idea,English  
Be careful with that butter knife,English  
He didn't heed the warning and it had turned out surprisingly well, English
It was a slippery slope and he was willing to slide all the way to the deepest depths, English
He would only survive if he kept the fire going and he could hear thunder in the distance, English
His confidence would have been admirable if it wasn't for his stupidity, English
She let the balloon float up into the air with her hopes and dreams, English
His seven-layer cake only had six layers, English
There was coal in his stocking and he was thrilled, English
The rusty nail stood erect angled at a 45-degree angle just waiting for the perfect barefoot to come along, English
So long and thanks for the fish, English
The random sentence generator generated a random sentence about a random sentence, English
She says she has the ability to hear the soundtrack of your life, English
It turns out you don't need all that stuff you insisted you did, English
The irony of the situation wasn't lost on anyone in the room, English
The truth is that you pay for your lifestyle in hours, English
The light in his life was actually a fire burning all around him, English
Three generations with six decades of life experience, English
Nothing seemed out of place except the washing machine in the bar, English
He decided to live his life by the big beats manifesto, English
The secret ingredient to his wonderful life was crime, English
He was sitting in a trash can with high street class, English
The fact that there's a stairway to heaven and a highway to hell explains life well, English
I met an interesting turtle while the song on the radio blasted away, English
At that moment he wasn't listening to music he was living an experience, English
This made him feel like an old-style rootbeer float smells, English
In the end he realized he could see sound and hear words, English
The fish listened intently to what the frogs had to say, English
He stepped gingerly onto the bridge knowing that enchantment awaited on the other side, English
He learned the hardest lesson of his life and had the scars both physical and mental to prove it, English
At that moment she realized she had a sixth sense, English
He wondered why at 18 he was old enough to go to war but not old enough to buy cigarettes, English
She saw no irony asking me to change but wanting me to accept her for who she is, English
The fox in the tophat whispered into the ear of the rabbit, English
There can never be too many cherries on an ice cream sundae, English
The minute she landed she understood the reason this was a fly-over state, English
